question,cue,feat_type,correct_response,proposition_id
Is it graceful?,swan,nonvisual,yes,swan:nonvisual:yes:1
Is it a bird?,swan,nonvisual,yes,swan:nonvisual:yes:2
Does it live on water?,swan,nonvisual,yes,swan:nonvisual:yes:3
Does it lay eggs?,swan,nonvisual,yes,swan:nonvisual:yes:4
Does it have a long neck?,swan,visual,yes,swan:visual:yes:1
Does it have a beak?,swan,visual,yes,swan:visual:yes:2
Does it have feathers?,swan,visual,yes,swan:visual:yes:3
Does it have wings?,swan,visual,yes,swan:visual:yes:4
Is it used by riding?,swan,nonvisual,no,swan:nonvisual:no:1
Does it grow on trees?,swan,nonvisual,no,swan:nonvisual:no:2
Is it found in dining rooms?,swan,nonvisual,no,swan:nonvisual:no:3
Does it travel in herds?,swan,nonvisual,no,swan:nonvisual:no:4
Does it have a hump?,swan,visual,no,swan:visual:no:1
Does it have a tail?,swan,visual,no,swan:visual:no:2
Does it have four legs?,swan,visual,no,swan:visual:no:3
Is it made of wood?,swan,visual,no,swan:visual:no:4
Is it used for eating on?,table,nonvisual,yes,table:nonvisual:yes:1
Is it found in kitchens?,table,nonvisual,yes,table:nonvisual:yes:2
Is it found in dining rooms?,table,nonvisual,yes,table:nonvisual:yes:3
Is it furniture?,table,nonvisual,yes,table:nonvisual:yes:4
Is it made of wood?,table,visual,yes,table:visual:yes:1
Is it round?,table,visual,no,table:visual:no:5
Does it have legs?,table,visual,yes,table:visual:yes:3
Is it flat?,table,visual,yes,table:visual:yes:4
Is it an animal?,table,nonvisual,no,table:nonvisual:no:1
Is it a mammal?,table,nonvisual,no,table:nonvisual:no:2
Is it healthy?,table,nonvisual,no,table:nonvisual:no:3
Does it grow in Hawaii?,table,nonvisual,no,table:nonvisual:no:4
Does it have a neck?,table,visual,no,table:visual:no:1
Does it have a nose?,table,visual,no,table:visual:no:2
Does it have a tail?,table,visual,no,table:visual:no:3
Does it have a skin?,table,visual,no,table:visual:no:4
Is it a carnivore?,tiger,nonvisual,yes,tiger:nonvisual:yes:1
Is it an animal?,tiger,nonvisual,yes,tiger:nonvisual:yes:2
Does it live in zoos?,tiger,nonvisual,yes,tiger:nonvisual:yes:4
Does it live in India?,tiger,nonvisual,yes,tiger:nonvisual:yes:5
Does it have stripes?,tiger,visual,yes,tiger:visual:yes:1
Does it have teeth?,tiger,visual,yes,tiger:visual:yes:2
Is it orange?,tiger,visual,yes,tiger:visual:yes:3
Does it have whiskers?,tiger,visual,yes,tiger:visual:yes:4
Does it have large teeth?,tiger,visual,yes,tiger:visual:yes:5
Is it used for sitting on?,tiger,nonvisual,no,tiger:nonvisual:no:1
Does it taste sweet?,tiger,nonvisual,no,tiger:nonvisual:no:2
Does it grow underground?,tiger,nonvisual,no,tiger:nonvisual:no:3
Is it worn in winter?,tiger,nonvisual,no,tiger:nonvisual:no:4
Is it used for relaxing?,tiger,nonvisual,no,tiger:nonvisual:no:5
Is it black?,tiger,visual,no,tiger:visual:no:1
Is it brown?,tiger,visual,no,tiger:visual:no:2
Does it have large ears?,tiger,visual,no,tiger:visual:no:3
Is it yellow inside?,tiger,visual,no,tiger:visual:no:4
Does it have warts?,tiger,visual,no,tiger:visual:no:5
Does it eat?,toad,nonvisual,yes,toad:nonvisual:yes:1
Does it hop?,toad,nonvisual,yes,toad:nonvisual:yes:2
Is it an amphibian?,toad,nonvisual,yes,toad:nonvisual:yes:3
Does it eat insects?,toad,nonvisual,yes,toad:nonvisual:yes:4
Is it green?,toad,visual,yes,toad:visual:yes:1
Is it small?,toad,visual,yes,toad:visual:yes:3
Does it have a long tongue?,toad,visual,yes,toad:visual:yes:4
Does it bark?,toad,nonvisual,no,toad:nonvisual:no:1
Does it run fast?,toad,nonvisual,no,toad:nonvisual:no:2
Is it furry?,toad,nonvisual,no,toad:nonvisual:no:3
Does it taste good?,toad,nonvisual,no,toad:nonvisual:no:4
Does it have handle bars?,toad,visual,no,toad:visual:no:1
Does it have a peel?,toad,visual,no,toad:visual:no:2
Does it have a tail?,toad,visual,no,toad:visual:no:3
Does it have whiskers?,toad,visual,no,toad:visual:no:4
Is it used for freight?,train,nonvisual,yes,train:nonvisual:yes:1
Is it used for transportation?,train,nonvisual,yes,train:nonvisual:yes:2
Does it require a conductor?,train,nonvisual,yes,train:nonvisual:yes:3
Is it loud?,train,nonvisual,yes,train:nonvisual:yes:4
Does it have a caboose?,train,visual,yes,train:visual:yes:1
Does it have an engine?,train,visual,yes,train:visual:yes:2
Does it have many cars?,train,visual,yes,train:visual:yes:3
Is it made of metal?,train,visual,yes,train:visual:yes:4
Is it a fruit?,train,nonvisual,no,train:nonvisual:no:1
Does it grow in tropical climates?,train,nonvisual,no,train:nonvisual:no:2
Does it live in the Arctic?,train,nonvisual,no,train:nonvisual:no:3
Does it produce offspring?,train,nonvisual,no,train:nonvisual:no:4
Is it green?,train,visual,no,train:visual:no:1
Does it have a zipper?,train,visual,no,train:visual:no:2
Does it have a beak?,train,visual,no,train:visual:no:3
Does it have long legs?,train,visual,no,train:visual:no:4
Is it an animal?,zebra,nonvisual,yes,zebra:nonvisual:yes:1
Does it run fast?,zebra,nonvisual,yes,zebra:nonvisual:yes:2
Does it live in Africa?,zebra,nonvisual,yes,zebra:nonvisual:yes:3
Does it travel in herds?,zebra,nonvisual,yes,zebra:nonvisual:yes:4
Does it have stripes?,zebra,visual,yes,zebra:visual:yes:1
Does it have four legs?,zebra,visual,yes,zebra:visual:yes:2
Does it have hooves?,zebra,visual,yes,zebra:visual:yes:3
Does it have a mane?,zebra,visual,yes,zebra:visual:yes:4
Does it eat garbage?,zebra,nonvisual,no,zebra:nonvisual:no:1
Is it used for eating on?,zebra,nonvisual,no,zebra:nonvisual:no:2
Is it eaten by rabbits?,zebra,nonvisual,no,zebra:nonvisual:no:3
Does it live in water?,zebra,nonvisual,no,zebra:nonvisual:no:4
Does it live in jungles?,zebra,nonvisual,no,zebra:nonvisual:no:5
Is it red?,zebra,visual,no,zebra:visual:no:1
Does it have antennae?,zebra,visual,no,zebra:visual:no:2
Does it have jaws?,zebra,visual,yes,zebra:visual:yes:5
